Cluster,50,20,10,5,2,1,0.5
1,0.85,1.54,1.95,2.28,2.63,2.83,2.99
2,0.53,1.41,2.28,3.38,5.30,7.20,9.61
3,0.44,1.27,2.19,3.45,5.89,8.57,12.28
4,0.45,1.40,2.38,3.66,5.96,8.32,11.40
5,0.50,1.40,2.31,3.48,5.56,7.65,10.33
6,0.59,1.52,2.35,3.30,4.76,6.07,7.56
7,0.83,1.67,2.15,2.52,2.89,3.10,3.27
8,0.56,1.44,2.29,3.32,5.04,6.69,8.69
9,0.70,1.55,2.21,2.89,3.81,4.54,5.29
10,0.64,1.53,2.28,3.11,4.33,5.37,6.51
11,0.44,1.32,2.27,3.56,5.98,8.57,12.09
12,0.56,1.55,2.44,3.47,5.11,6.58,8.29
13,0.63,1.52,2.28,3.14,4.42,5.53,6.77
14,0.59,1.59,2.44,3.39,4.81,6.01,7.35
15,0.64,1.51,2.25,3.08,4.33,5.40,6.59
16,0.62,1.49,2.25,3.13,4.50,5.72,7.11
17,0.55,1.45,2.30,3.35,5.10,6.77,8.82
18,0.44,1.41,2.40,3.69,6.01,8.38,11.46
19,0.69,1.61,2.31,3.02,3.97,4.70,5.44
20,0.92,1.52,1.80,1.99,2.14,2.22,2.27
21,0.78,1.46,1.97,2.46,3.09,3.56,4.02
22,0.52,1.40,2.29,3.40,5.35,7.30,9.76
23,0.88,1.58,1.94,2.21,2.45,2.57,2.66
24,0.57,1.46,2.30,3.32,4.99,6.56,8.46
25,0.55,1.49,2.37,3.42,5.14,6.75,8.68
26,0.46,1.39,2.34,3.59,5.86,8.20,11.26
27,0.76,1.56,2.12,2.64,3.29,3.74,4.16
28,0.56,1.50,2.37,3.39,5.03,6.54,8.32
29,0.54,1.42,2.29,3.37,5.23,7.04,9.31
30,0.34,1.20,2.20,3.65,6.62,10.06,15.05
31,0.64,1.49,2.23,3.07,4.37,5.50,6.79
32,0.69,1.58,2.27,2.97,3.94,4.68,5.45
33,0.76,1.50,2.05,2.60,3.32,3.86,4.39
34,0.56,1.40,2.21,3.23,4.99,6.71,8.86
35,0.71,1.45,2.06,2.74,3.73,4.56,5.47
36,0.80,1.52,2.01,2.44,2.94,3.27,3.57
37,0.47,1.32,2.23,3.45,5.74,8.17,11.45
38,0.67,1.49,2.19,2.95,4.07,5.01,6.05
39,0.61,1.45,2.23,3.14,4.61,5.96,7.56
40,0.55,1.42,2.27,3.31,5.09,6.81,8.94
41,0.72,1.47,2.08,2.71,3.61,4.32,5.08
42,0.54,1.43,2.30,3.38,5.22,7.00,9.22
